	pmid	journal	journalAbbr
95	32283141	The Journal of infection	J Infect
96	32430459	Diabetes care	Diabetes Care
97	32646885	Neurology(R) neuroimmunology & neuroinflammation	Neurol Neuroimmunol Neuroinflamm
98	32641684	Nature communications	Nat Commun
99	32221519	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
100	32545441	International journal of environmental research and public health	Int J Environ Res Public Health
101	32634826	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
102	32609640	Clinical chemistry and laboratory medicine	Clin Chem Lab Med
103	32650788	Journal of translational medicine	J Transl Med
104	32592724	Clinical biochemistry	Clin Biochem
105	32568721	Journal of medical Internet research	J Med Internet Res
106	32431949	Virus evolution	Virus Evol
107	32470046	PloS one	PLoS One
108	32586336	BMC medicine	BMC Med
109	32566569	Annals of translational medicine	Ann Transl Med
110	32545799	Viruses	Viruses
111	32361250	EBioMedicine	EBioMedicine
112	32473352	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Infect Genet Evol
113	32582302	Frontiers in genetics	Front Genet
114	32521776	International journal of environmental research and public health	Int J Environ Res Public Health
115	32466820	European psychiatry : the journal of the Association of European Psychiatrists	Eur Psychiatry
116	32598450	The journals of gerontology. Series A, Biological sciences and medical sciences	J Gerontol A Biol Sci Med Sci
117	32015508	Nature	Nature
118	32425701	Developmental cell	Dev Cell
119	32302966	Journal of medical Internet research	J Med Internet Res
120	32656101	Frontiers in cellular and infection microbiology	Front Cell Infect Microbiol
121	32160149	Emerging infectious diseases	Emerg Infect Dis
122	32290902	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
123	32096566	Journal of medical virology	J Med Virol
124	32648546	Annals of epidemiology	Ann Epidemiol
125	32375025	Cell	Cell
126	32407884	Heart rhythm	Heart Rhythm
127	32455807	Journal of clinical medicine	J Clin Med
128	32358202	Science (New York, N.Y.)	Science
129	32599407	The Science of the total environment	Sci Total Environ
130	32414780	Science (New York, N.Y.)	Science
131	32654049	International journal of clinical oncology	Int J Clin Oncol
132	32505456	The Journal of thoracic and cardiovascular surgery	J Thorac Cardiovasc Surg
133	32504735	The Journal of infection	J Infect
134	32271597	Archives of Iranian medicine	Arch Iran Med
135	32598302	Clinical chemistry and laboratory medicine	Clin Chem Lab Med
136	32461287	Journal of clinical microbiology	J Clin Microbiol
137	32419713	Annals of emergency medicine	Ann Emerg Med
138	32384820	Viruses	Viruses
139	32438677	Diagnostics (Basel, Switzerland)	Diagnostics (Basel)
140	32463802	The Journal of clinical investigation	J Clin Invest
141	32574184	PloS one	PLoS One
142	32421258	Acta ophthalmologica	Acta Ophthalmol
143	32267220	Emerging infectious diseases	Emerg Infect Dis
144	32378737	Clinical pharmacology and therapeutics	Clin Pharmacol Ther
145	32579983	The Journal of infection	J Infect
146	32563180	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
147	32358960	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
148	32442105	Virology	Virology
149	32472043	Nature communications	Nat Commun
150	32053479	Emerging infectious diseases	Emerg Infect Dis
151	32377375	Cell discovery	Cell Discov
152	32019669	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
153	32293449	Respiratory research	Respir Res
154	32301745	Clinical chemistry and laboratory medicine	Clin Chem Lab Med
155	32517845	Epidemiology and infection	Epidemiol Infect
156	32651113	Vaccine	Vaccine
157	32530929	PloS one	PLoS One
158	32628131	Aging	Aging (Albany NY)
159	32234805	Science (New York, N.Y.)	Science
160	32453877	British journal of haematology	Br J Haematol
161	32194980	Cell discovery	Cell Discov
162	32633729	Aging	Aging (Albany NY)
163	32407411	PloS one	PLoS One
164	31994738	Journal of medical virology	J Med Virol
165	32353991	International journal of environmental research and public health	Int J Environ Res Public Health
166	32513858	Journal of clinical microbiology	J Clin Microbiol
167	32574342	Frontiers in medicine	Front Med (Lausanne)
168	32517882	Immunobiology	Immunobiology
169	32597048	Journal of Korean medical science	J Korean Med Sci
170	32330414	Cell	Cell
171	32387671	Environmental pollution (Barking, Essex : 1987)	Environ Pollut
172	32418307	Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland	Colorectal Dis
173	32217650	The European respiratory journal	Eur Respir J
174	32417744	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
175	32365703	International journal of environmental research and public health	Int J Environ Res Public Health
176	32604404	Nature	Nature
177	32594170	The Journal of infectious diseases	J Infect Dis
178	32376603	Science (New York, N.Y.)	Science
179	32586323	BMC medicine	BMC Med
180	32119825	The Lancet. Global health	Lancet Glob Health
181	32342242	Biomechanics and modeling in mechanobiology	Biomech Model Mechanobiol
182	32589146	JMIR public health and surveillance	JMIR Public Health Surveill
183	32376697	mSphere	mSphere
184	32253226	Science translational medicine	Sci Transl Med
185	32560572	Biology	Biology (Basel)
186	32382737	The Journal of infectious diseases	J Infect Dis
187	32430429	The European respiratory journal	Eur Respir J
188	32650409	International journal of environmental research and public health	Int J Environ Res Public Health
189	32504743	The Journal of infection	J Infect
190	32574262	Frontiers in immunology	Front Immunol
191	32269018	CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne	CMAJ
192	32470164	Journal of medical virology	J Med Virol
193	32578378	Small (Weinheim an der Bergstrasse, Germany)	Small
194	32574315	Frontiers in public health	Front Public Health
195	32425659	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
196	32532753	Annals of the rheumatic diseases	Ann Rheum Dis
197	32392377	International journal of clinical practice	Int J Clin Pract
198	32404477	Science (New York, N.Y.)	Science
199	32502034	Medicine	Medicine (Baltimore)
200	32531208	Cell reports	Cell Rep
201	32091395	eLife	Elife
202	32358203	Science (New York, N.Y.)	Science
203	32054124	Journal of clinical medicine	J Clin Med
204	32574340	Frontiers in medicine	Front Med (Lausanne)
205	32383183	Journal of medical virology	J Med Virol
206	32542337	European heart journal. Cardiovascular pharmacotherapy	Eur Heart J Cardiovasc Pharmacother
207	32546824	Nature medicine	Nat Med
208	32492406	Cell	Cell
209	32330208	PloS one	PLoS One
210	32485082	European journal of heart failure	Eur J Heart Fail
211	32046819	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
212	32615936	BMC medical research methodology	BMC Med Res Methodol
213	32615316	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Infect Genet Evol
214	32460229	International journal of hygiene and environmental health	Int J Hyg Environ Health
215	32438446	Clinical pharmacology and therapeutics	Clin Pharmacol Ther
216	32410236	Journal of medical virology	J Med Virol
217	32301997	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
218	32334115	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
219	32534143	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
220	32616673	Science (New York, N.Y.)	Science
221	32617266	Medical journal of the Islamic Republic of Iran	Med J Islam Repub Iran
222	32290077	Viruses	Viruses
223	32544155	PLoS medicine	PLoS Med
224	32108351	Journal of medical virology	J Med Virol
225	32217835	The Journal of clinical investigation	J Clin Invest
226	32580948	Journal of clinical microbiology	J Clin Microbiol
227	32632160	Nature communications	Nat Commun
228	32276051	The Journal of molecular diagnostics : JMD	J Mol Diagn
229	32463348	Journal of the American Heart Association	J Am Heart Assoc
230	32610037	Emerging infectious diseases	Emerg Infect Dis
231	32169498	Brain, behavior, and immunity	Brain Behav Immun
232	32653452	Antiviral research	Antiviral Res
233	32183941	Cell host & microbe	Cell Host Microbe
234	32532094	Viruses	Viruses
235	32284379	Antimicrobial agents and chemotherapy	Antimicrob Agents Chemother
236	32353347	The Lancet. Infectious diseases	Lancet Infect Dis
237	32546654	Neurology	Neurology
238	32422408	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases	Clin Microbiol Infect
239	32530494	Journal of medical virology	J Med Virol
240	32368894	ACS nano	ACS Nano
241	32622380	The Lancet. Infectious diseases	Lancet Infect Dis
242	32619390	Emerging microbes & infections	Emerg Microbes Infect
243	32485620	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
244	32372755	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
245	32400361	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
246	32454187	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases	Clin Microbiol Infect
247	32513867	Science translational medicine	Sci Transl Med
248	32360881	The Journal of infection	J Infect
249	32558947	Journal of medical virology	J Med Virol
250	32501374	Chaos, solitons, and fractals	Chaos Solitons Fractals
251	32303592	Journal of virology	J Virol
252	32296824	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
253	32275288	JAMA neurology	JAMA Neurol
254	32223012	Influenza and other respiratory viruses	Influenza Other Respir Viruses
255	32618260	The American journal of tropical medicine and hygiene	Am J Trop Med Hyg
256	32656001	PeerJ	PeerJ
257	32349259	International journal of environmental research and public health	Int J Environ Res Public Health
258	32435645	Frontiers in medicine	Front Med (Lausanne)
259	32539988	The Lancet. Infectious diseases	Lancet Infect Dis
260	32596474	Science advances	Sci Adv
261	32365353	Nature	Nature
262	32540902	Science (New York, N.Y.)	Science
263	32452762	eLife	Elife
264	32409826	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
265	32571838	Science (New York, N.Y.)	Science
266	32247631	Kidney international	Kidney Int
267	32659292	Antiviral research	Antiviral Res
268	32585135	Cell host & microbe	Cell Host Microbe
269	32404436	Science immunology	Sci Immunol
270	32407409	PloS one	PLoS One
271	32411652	Frontiers in public health	Front Public Health
272	32251805	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
273	32265003	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
274	32171951	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
275	32451563	International journal of public health	Int J Public Health
276	32460357	Immunology	Immunology
277	32400358	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
278	32394344	Infection	Infection
279	32424571	European journal of epidemiology	Eur J Epidemiol
280	32650645	Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme	Appl Physiol Nutr Metab
281	32302377	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
282	32463365	eLife	Elife
283	32220655	The Lancet. Public health	Lancet Public Health
284	32502733	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Infect Genet Evol
285	32339844	The Science of the total environment	Sci Total Environ
286	32428990	EMBO molecular medicine	EMBO Mol Med
287	32526193	The Lancet. Infectious diseases	Lancet Infect Dis
288	32388471	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
289	32603801	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases	Clin Microbiol Infect
290	32403007	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
291	32526655	Oral oncology	Oral Oncol
292	32594937	Epidemiology and infection	Epidemiol Infect
293	32374400	JAMA network open	JAMA Netw Open
294	32376627	Journal of virology	J Virol
295	32658859	JMIR public health and surveillance	JMIR Public Health Surveill
296	32434518	Journal of translational medicine	J Transl Med
297	32408453	The Science of the total environment	Sci Total Environ
298	32547891	PeerJ	PeerJ
299	32234804	Science (New York, N.Y.)	Science
300	32369759	JMIR public health and surveillance	JMIR Public Health Surveill
301	32552016	American journal of public health	Am J Public Health
302	32627200	Transfusion	Transfusion
303	32614817	PLoS computational biology	PLoS Comput Biol
304	32651556	Nature microbiology	Nat Microbiol
305	32495918	European review for medical and pharmacological sciences	Eur Rev Med Pharmacol Sci
306	32344319	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
307	32239761	Allergy	Allergy
308	32404476	Science (New York, N.Y.)	Science
309	32183920	Infection control and hospital epidemiology	Infect Control Hosp Epidemiol
310	32234121	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
311	32576605	Journal of epidemiology and community health	J Epidemiol Community Health
312	32462545	Infectious diseases and therapy	Infect Dis Ther
313	32456346	International journal of environmental research and public health	Int J Environ Res Public Health
314	32575076	Aging	Aging (Albany NY)
315	32341143	Journal of clinical microbiology	J Clin Microbiol
316	32425003	Journal of Zhejiang University. Science. B	J Zhejiang Univ Sci B
317	32621392	Clinical endocrinology	Clin Endocrinol (Oxf)
318	32546823	Nature medicine	Nat Med
319	32330458	The Lancet. Public health	Lancet Public Health
320	32621841	Virus research	Virus Res
321	32619760	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
322	32303590	Science (New York, N.Y.)	Science
323	32585830	Nutrients	Nutrients
324	32502389	The Lancet. Public health	Lancet Public Health
325	32647131	Nature communications	Nat Commun
326	32269067	Science (New York, N.Y.)	Science
327	32246905	The Lancet. Infectious diseases	Lancet Infect Dis
328	32423996	Science (New York, N.Y.)	Science
329	32456689	BMC medicine	BMC Med
330	32353252	Cell	Cell
331	32332765	Nature communications	Nat Commun
332	32340022	Nature	Nature
333	32510168	Journal of medical virology	J Med Virol
334	32416074	Current biology : CB	Curr Biol
335	32620178	Emerging infectious diseases	Emerg Infect Dis
336	32437822	The Journal of hospital infection	J Hosp Infect
337	32434888	Journal of virology	J Virol
338	32120913	Journal of clinical medicine	J Clin Med
339	32366025	Viruses	Viruses
340	32581081	mSphere	mSphere
341	32361996	Transfusion	Transfusion
342	32245784	Science (New York, N.Y.)	Science
343	32416598	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
344	32408508	International journal of environmental research and public health	Int J Environ Res Public Health
345	32380510	Nature	Nature
346	32350060	Science (New York, N.Y.)	Science
347	32350462	Nature medicine	Nat Med
348	32219006	Quantitative biology (Beijing, China)	Quant Biol
349	32616597	The European respiratory journal	Eur Respir J
350	32553061	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
351	32605661	Genome medicine	Genome Med
352	32430957	Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology	Ultrasound Obstet Gynecol
353	32365354	Nature	Nature
354	32311320	The Lancet. Public health	Lancet Public Health
355	32559451	The Lancet. Infectious diseases	Lancet Infect Dis
356	32321856	Science (New York, N.Y.)	Science
357	32300245	Nature biotechnology	Nat Biotechnol
358	32374457	Journal of medical virology	J Med Virol
359	32240634	The Lancet. Infectious diseases	Lancet Infect Dis
360	32527255	Respiratory research	Respir Res
361	32407364	PLoS pathogens	PLoS Pathog
362	32444460	BMJ (Clinical research ed.)	BMJ
363	32571980	Science translational medicine	Sci Transl Med
364	32155444	Cell	Cell
365	32522738	BMJ global health	BMJ Glob Health
366	32418288	Annals of neurology	Ann Neurol
367	32575078	Aging	Aging (Albany NY)
368	32513659	BMJ (Clinical research ed.)	BMJ
369	32075152	Journal of clinical medicine	J Clin Med
370	32309796	The Lancet. Digital health	Lancet Digit Health
371	32430088	Epidemiology and infection	Epidemiol Infect
372	32225176	Nature	Nature
373	32283325	Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association	Clin Gastroenterol Hepatol
374	32641758	Scientific data	Sci Data
375	32442581	Annals of oncology : official journal of the European Society for Medical Oncology	Ann Oncol
376	32413330	Immunity	Immunity
377	32422057	Annals of internal medicine	Ann Intern Med
378	32276848	Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi	J Microbiol Immunol Infect
379	32619549	Cell systems	Cell Syst
380	32255761	Emerging infectious diseases	Emerg Infect Dis
381	32382154	Nature medicine	Nat Med
382	32609310	JAMA internal medicine	JAMA Intern Med
383	32619956	International immunopharmacology	Int Immunopharmacol
384	32622888	Journal of the American Academy of Dermatology	J Am Acad Dermatol
385	32366720	Antimicrobial agents and chemotherapy	Antimicrob Agents Chemother
386	32150748	Annals of internal medicine	Ann Intern Med
387	32492531	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
388	32339715	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
389	32560207	Microorganisms	Microorganisms
390	32525765	Emerging microbes & infections	Emerg Microbes Infect
391	32109013	The New England journal of medicine	N Engl J Med
392	32571797	Journal of virology	J Virol
393	32409839	Occupational medicine (Oxford, England)	Occup Med (Lond)
394	32378252	International journal of clinical practice	Int J Clin Pract
395	32652813	Journal of applied microbiology	J Appl Microbiol
396	32124990	Journal of medical virology	J Med Virol
397	32361446	The Science of the total environment	Sci Total Environ
398	32558308	Molecular genetics & genomic medicine	Mol Genet Genomic Med
399	32320064	Journal of medical virology	J Med Virol
400	32247326	The Lancet. Infectious diseases	Lancet Infect Dis
401	32640463	Nature	Nature
402	32449782	Journal of rehabilitation medicine	J Rehabil Med
403	32291278	Science (New York, N.Y.)	Science
404	32545378	International journal of environmental research and public health	Int J Environ Res Public Health
405	32558485	The New England journal of medicine	N Engl J Med
406	32046816	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
407	32357209	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
408	32437576	JAMA network open	JAMA Netw Open
409	32642878	Health care management science	Health Care Manag Sci
410	32591762	Nature biotechnology	Nat Biotechnol
411	32168464	Emerging infectious diseases	Emerg Infect Dis
412	32607504	Harvard data science review	Harv Data Sci Rev
413	32498655	Journal of biological dynamics	J Biol Dyn
414	32444358	BMJ (Clinical research ed.)	BMJ
415	32487283	Emerging infectious diseases	Emerg Infect Dis
416	32524515	Infection	Infection
417	32641730	Nature communications	Nat Commun
418	32111262	Infectious diseases of poverty	Infect Dis Poverty
419	32493739	BMJ (Clinical research ed.)	BMJ
420	32397762	Experimental biology and medicine (Maywood, N.J.)	Exp Biol Med (Maywood)
421	32533556	Transfusion	Transfusion
422	32486140	Diagnostics (Basel, Switzerland)	Diagnostics (Basel)
423	32534626	Lancet (London, England)	Lancet
424	32413276	Cell host & microbe	Cell Host Microbe
425	32473124	The Lancet. Respiratory medicine	Lancet Respir Med
426	32516108	Emerging infectious diseases	Emerg Infect Dis
427	32639233	eLife	Elife
428	32360286	The Journal of allergy and clinical immunology	J Allergy Clin Immunol
429	32356867	JAMA internal medicine	JAMA Intern Med
430	32167173	Journal of medical virology	J Med Virol
431	32553130	The Lancet. Global health	Lancet Glob Health
432	32207679	Emerging infectious diseases	Emerg Infect Dis
433	32556260	JAMA network open	JAMA Netw Open
434	32485473	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
435	32582748	Frontiers in medicine	Front Med (Lausanne)
436	32650037	Journal of virological methods	J Virol Methods
437	32444354	Journal of clinical microbiology	J Clin Microbiol
438	32343222	Emerging infectious diseases	Emerg Infect Dis
439	32183930	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
440	32405103	Lancet (London, England)	Lancet
441	32235945	Nature	Nature
442	32318327	Acta pharmaceutica Sinica. B	Acta Pharm Sin B
443	32639236	Anesthesiology	Anesthesiology
444	32525548	JAMA network open	JAMA Netw Open
445	32576668	Science (New York, N.Y.)	Science
446	32629788	Microorganisms	Microorganisms
447	32621617	Journal of medical virology	J Med Virol
448	32408336	Nature	Nature
449	32528664	F1000Research	F1000Res
450	32334082	Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association	Clin Gastroenterol Hepatol
451	32291502	European radiology	Eur Radiol
452	32112714	Lancet (London, England)	Lancet
453	32444366	BMJ (Clinical research ed.)	BMJ
454	32297671	British journal of haematology	Br J Haematol
455	32575492	International journal of environmental research and public health	Int J Environ Res Public Health
456	32592974	The Science of the total environment	Sci Total Environ
457	32198088	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
458	32284092	Emerging infectious diseases	Emerg Infect Dis
459	32545271	Genes	Genes (Basel)
460	32621869	The Lancet. Infectious diseases	Lancet Infect Dis
461	32320641	Emerging infectious diseases	Emerg Infect Dis
462	32622400	The Lancet. Global health	Lancet Glob Health
463	32275295	JAMA	JAMA
464	32560044	Journal of clinical medicine	J Clin Med
465	32626666	Frontiers in cellular and infection microbiology	Front Cell Infect Microbiol
466	32238216	Infection control and hospital epidemiology	Infect Control Hosp Epidemiol
467	32611670	The Journal of rheumatology	J Rheumatol
468	32521706	Viruses	Viruses
469	32304942	The Science of the total environment	Sci Total Environ
470	32339723	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
471	32601708	The Journal of infectious diseases	J Infect Dis
472	32558644	eLife	Elife
473	32033064	Journal of clinical medicine	J Clin Med
474	32409486	BMJ (Clinical research ed.)	BMJ
475	32543353	Emerging microbes & infections	Emerg Microbes Infect
476	32324118	Emerging infectious diseases	Emerg Infect Dis
477	32526492	Environmental research	Environ Res
478	32398875	Nature medicine	Nat Med
